DEPTH,GR
4.73 ,2.16 
4.83 ,0.17 
8.83 ,7.84 
2.79 ,1.87 
0.09 ,3.17 
6.70 ,7.17 
0.15 ,2.94 
5.00 ,0.92 
4.59 ,8.17 
8.69 ,7.91 
7.27 ,2.78 
5.92 ,7.40 
2.66 ,2.55 
8.88 ,0.36 
4.83 ,0.33 
1.06 ,2.94 
0.27 ,3.38 
4.42 ,5.40 
3.43 ,6.82 
3.57 ,1.89 
6.49 ,4.50 
5.07 ,6.30 
5.02 ,6.68 
1.16 ,8.55 
8.99 ,0.51 
3.91 ,4.76 
4.00 ,3.68 
7.52 ,1.96 
8.46 ,2.94 
0.01 ,5.47 
4.66 ,2.29 
5.66 ,6.14 
7.85 ,7.79 
1.60 ,9.80 
5.57 ,6.07 
2.15 ,6.75 
3.47 ,4.97 
3.19 ,4.91 
3.30 ,3.07 
8.67 ,8.32 
3.63 ,0.74 
6.84 ,8.55 
2.06 ,0.41 
5.99 ,2.10 
1.55 ,0.16 
1.43 ,2.76 
8.16 ,9.16 
8.89 ,8.27 
5.93 ,1.57 
2.57 ,3.30 
6.69 ,2.13 
5.51 ,7.31 
8.22 ,2.23 
3.34 ,6.22 
6.82 ,4.53 
7.89 ,7.19 
8.32 ,4.54 
7.59 ,0.32 
0.52 ,6.13 
1.55 ,8.79 
9.42 ,3.72 
3.21 ,4.62 
7.50 ,7.82 
7.68 ,4.20 
6.18 ,0.41 
0.98 ,4.71 
9.90 ,7.79 
9.50 ,1.70 
3.35 ,1.48 
1.86 ,9.57 
8.57 ,4.09 
4.40 ,7.62 
2.88 ,7.29 
3.91 ,5.50 
9.32 ,0.12 
3.88 ,6.49 
1.17 ,0.40 
1.11 ,1.21 
1.50 ,3.40 
7.51 ,2.41 
0.37 ,9.24 
6.42 ,7.76 
6.29 ,3.72 
3.02 ,2.49 
8.18 ,6.64 
7.91 ,9.99 
8.03 ,9.09 
1.15 ,6.35 
0.51 ,0.24 
2.61 ,5.45 
2.84 ,0.21 
0.43 ,0.91 
6.72 ,7.94 
1.06 ,9.34 
5.74 ,8.94 
6.04 ,3.97 
6.85 ,7.14 
9.66 ,9.15 
2.61 ,8.87 
9.91 ,4.25 
4.55 ,7.52 
2.45 ,2.66 
9.09 ,0.87 
6.52 ,9.81 
8.86 ,8.51 
3.53 ,3.55 
4.55 ,6.09 
4.28 ,2.97 
6.15 ,3.23 
5.20 ,6.90 
9.19 ,4.05 
0.82 ,8.21 
2.19 ,6.20 
6.35 ,1.30 
0.82 ,3.05 
5.25 ,7.47 
6.80 ,5.65 
5.05 ,0.53 
9.57 ,6.55 
1.09 ,8.19 
9.49 ,8.66 
3.09 ,0.43 
3.71 ,8.70 
7.82 ,5.08 
7.64 ,1.24 
1.74 ,1.74 
7.34 ,6.30 
4.57 ,0.46 
9.22 ,3.40 
6.80 ,4.80 
6.68 ,7.25 
7.28 ,6.64 
5.08 ,9.76 
7.94 ,3.29 
5.05 ,3.83 
0.03 ,7.79 
9.06 ,3.94 
2.79 ,4.20 
1.99 ,7.68 
6.54 ,7.83 
7.28 ,0.62 
0.92 ,1.38 
8.88 ,4.89 
3.10 ,9.84 
6.08 ,3.15 
7.39 ,9.61 
6.51 ,3.76 
1.72 ,6.96 
1.20 ,4.53 
8.46 ,9.00 
8.61 ,1.46 
3.03 ,5.22 
2.45 ,4.89 
9.37 ,2.74 
8.63 ,9.43 
5.83 ,7.14 
8.26 ,6.94 
3.36 ,9.78 
0.65 ,8.93 
9.64 ,1.15 
3.08 ,0.57 
4.86 ,5.91 
4.44 ,3.57 
0.71 ,6.05 
7.79 ,9.97 
1.91 ,6.72 
0.76 ,7.90 
5.30 ,1.60 
5.35 ,7.54 
5.10 ,6.37 
9.65 ,4.86 
4.82 ,3.37 
9.94 ,8.22 
5.27 ,7.78 
1.21 ,1.88 
8.23 ,8.37 
0.17 ,3.83 
7.01 ,8.18 
3.97 ,9.97 
5.05 ,3.70 
0.38 ,8.15 
0.38 ,6.26 
6.16 ,7.66 
4.84 ,5.32 
5.60 ,5.17 
5.12 ,7.51 
8.27 ,7.65 
7.57 ,1.80 
6.53 ,3.66 
1.99 ,1.22 
3.43 ,9.60 
6.05 ,6.91 
9.45 ,4.06 
3.65 ,2.60 
1.37 ,6.19 
3.88 ,4.27 
8.69 ,4.46 
0.98 ,6.29 
3.30 ,9.31 
0.53 ,5.09 
3.34 ,3.72 
5.09 ,3.08 
7.91 ,3.54 
3.15 ,8.20 
0.99 ,0.66 
2.10 ,6.90 
6.58 ,2.17 
7.82 ,2.86 
4.21 ,4.28 
6.71 ,8.77 
9.89 ,0.04 
9.43 ,2.16 
6.23 ,9.95 
0.87 ,4.96 
4.05 ,4.60 
8.06 ,4.77 
4.35 ,3.45 
5.84 ,2.21 
2.69 ,2.36 
1.53 ,3.24 
8.43 ,0.77 
1.71 ,3.09 
9.07 ,0.53 
6.26 ,4.33 
3.20 ,6.42 
7.83 ,0.60 
2.83 ,6.50 
3.00 ,1.73 
4.94 ,1.92 
5.17 ,4.70 
8.53 ,2.54 
0.33 ,5.19 
6.02 ,2.97 
2.99 ,5.04 
8.59 ,0.00 
7.16 ,7.15 
7.70 ,5.10 
4.94 ,4.36 
6.21 ,0.65 
5.07 ,4.85 
3.06 ,8.23 
