DEPTH,GR
29.38,34.69
29.48,31.45
29.59,29.54
29.69,29.69
29.79,31.06
29.88,32.74
29.98,33.36
30.09,33.1
30.19,32.7
30.29,32.39
30.38,32.52
30.48,32.92
30.59,33.41
30.69,34.04
30.79,34.69
30.88,35.04
30.98,36.19
31.09,37.12
31.19,36.31
31.29,35.02
31.38,34.86
31.48,36.11
31.59,36.17
31.69,35.54
31.79,34.34
31.88,33.59
31.98,34.78
32.08,36.11
32.19,37.66
32.29,38.5
32.38,36.91
32.48,35.4
32.59,35
32.69,35.23
32.79,34.29
32.88,32.26
32.98,31.59
33.09,31.99
33.19,33.23
33.29,34.38
33.38,35.49
33.48,35.8
33.59,34.96
33.69,34.52
33.79,35.31
33.88,35.54
33.98,35.27
34.09,36.02
34.19,36.82
34.29,37
34.38,36.8
34.48,35.74
34.59,34.27
34.69,33.43
34.79,33.13
34.88,32.72
34.98,32.72
35.09,34.02
35.19,36.09
35.29,37.46
35.38,37.74
35.48,36.93
35.59,36.2
35.69,35.49
35.79,35.09
35.88,34.43
35.98,33.98
36.08,34.38
36.18,33.34
36.29,32.77
36.38,32.14
36.48,31.03
36.59,29.54
36.69,28.03
36.79,26.72
36.88,26.01
36.98,27.38
37.09,28.53
37.19,29.69
37.29,31.19
37.38,33.23
37.48,35.4
37.59,35.93
37.69,36.38
37.79,37.17
37.88,37.13
37.98,36.6
38.09,35.8
38.19,35.62
38.29,36.2
38.38,36.45
38.48,36.81
38.59,36.17
38.69,35.38
38.79,35.08
38.88,35.3
38.98,36.76
39.09,37.72
39.19,36.97
39.29,36.72
39.38,38.29
39.48,40.05
39.58,38.46
39.68,34.96
39.79,32.92
39.88,31.72
39.98,31.15
40.09,31.5
40.19,33.05
40.29,35
40.38,36.02
40.48,35.09
40.59,33.59
40.69,33.05
40.79,31.55
40.88,30.5
40.98,31.05
41.09,32.38
41.19,33.38
41.29,33.6
41.38,34.58
41.48,34.95
41.59,34.02
41.69,32.59
41.79,31.64
41.88,30.93
41.98,31.06
42.09,31.9
42.19,31.33
42.29,30.75
42.38,31.33
42.48,31.64
42.59,31.41
42.69,31.77
42.79,33.01
42.88,34.03
42.98,34.38
43.09,34.03
43.19,33.5
43.29,33.28
43.38,33.1
43.48,32.74
43.59,32.52
43.69,31.55
43.79,30.53
43.88,30.35
43.98,29.51
44.09,29.2
44.19,29.73
44.29,31.06
44.38,32.45
44.48,32.07
44.59,30.91
44.69,29.94
44.79,28.66
44.88,28.37
44.98,29.07
45.09,30.4
45.19,31.39
45.29,31.72
45.38,31.05
45.48,29.57
45.59,28.9
45.69,29.51
45.79,30.62
45.88,30.84
45.98,31.1
46.09,31.59
46.19,31.64
46.29,30.62
46.38,29.6
46.48,30.22
46.59,31.77
46.69,32.26
46.79,31.37
46.88,30.93
46.98,32.26
47.09,32.97
47.19,32.26
47.29,31.24
47.38,31.24
47.48,31.15
47.59,29.51
47.69,28.36
47.79,28.09
47.88,27.86
47.98,27.1
48.09,26.24
48.19,25.35
48.29,24.48
48.38,24.9
48.48,26.98
48.59,29.69
48.69,30.22
48.79,29.55
48.88,29.64
48.98,29.71
